_dim1_member,_dim2_member,_dim3_member,_dim4_member,_dim_5_member,_value,_etl_id
Arwen Evenstar,Hornburg,No Ring,TA 3018,Elf,4290,
Arwen Evenstar,Westfold,No Ring,TA 3018,Elf,4300,
Arwen Evenstar,Hobbiton,No Ring,TA 3018,Elf,4310,
Arwen Evenstar,Bag End,No Ring,TA 3018,Elf,4320,
Arwen Evenstar,Buckleberry Ferry,No Ring,TA 3018,Elf,4330,
Arwen Evenstar,Bree,No Ring,TA 3018,Elf,4340,
Arwen Evenstar,Dead Marshes,No Ring,TA 3018,Elf,4350,
Arwen Evenstar,Moria,No Ring,TA 3018,Elf,4360,
Arwen Evenstar,Barad-dur,No Ring,TA 3018,Elf,4370,
Arwen Evenstar,Mount Doom,No Ring,TA 3018,Elf,4380,
Arwen Evenstar,Minas Morgul,No Ring,TA 3018,Elf,4390,
Arwen Evenstar,Lothlorien,No Ring,TA 3018,Elf,4400,
Arwen Evenstar,Minas Tirith,No Ring,TA 3018,Elf,4410,
Arwen Evenstar,Pelennor Fields,No Ring,TA 3018,Elf,4420,
Arwen Evenstar,Gladden Fields,No Ring,TA 3018,Elf,4430,
Arwen Evenstar,Fangorn Forest,No Ring,TA 3018,Elf,4440,
Arwen Evenstar,Rivendell,No Ring,TA 3018,Elf,4450,
Arwen Evenstar,Isengard,No Ring,TA 3019,Elf,4460,
Arwen Evenstar,Edoras,No Ring,TA 3019,Elf,4470,
Arwen Evenstar,Helms Deep,No Ring,TA 3019,Elf,4480,
Arwen Evenstar,Hornburg,No Ring,TA 3019,Elf,4490,
Arwen Evenstar,Westfold,No Ring,TA 3019,Elf,4500,
Arwen Evenstar,Hobbiton,No Ring,TA 3019,Elf,4510,
Arwen Evenstar,Bag End,No Ring,TA 3019,Elf,4520,
Arwen Evenstar,Buckleberry Ferry,No Ring,TA 3019,Elf,4530,
Arwen Evenstar,Bree,No Ring,TA 3019,Elf,4540,
Arwen Evenstar,Dead Marshes,No Ring,TA 3019,Elf,4550,
Arwen Evenstar,Moria,No Ring,TA 3019,Elf,4560,
Arwen Evenstar,Barad-dur,No Ring,TA 3019,Elf,4570,
Arwen Evenstar,Mount Doom,No Ring,TA 3019,Elf,4580,
Arwen Evenstar,Minas Morgul,No Ring,TA 3019,Elf,4590,
Arwen Evenstar,Lothlorien,No Ring,TA 3019,Elf,4600,
Arwen Evenstar,Minas Tirith,No Ring,TA 3019,Elf,4610,
Arwen Evenstar,Pelennor Fields,No Ring,TA 3019,Elf,4620,
Arwen Evenstar,Gladden Fields,No Ring,TA 3019,Elf,4630,
Arwen Evenstar,Fangorn Forest,No Ring,TA 3019,Elf,4640,
Arwen Evenstar,Rivendell,No Ring,TA 3019,Elf,4650,
Arwen Evenstar,Isengard,No Ring,TA 3020,Elf,4660,
Arwen Evenstar,Edoras,No Ring,TA 3020,Elf,4670,
Arwen Evenstar,Helms Deep,No Ring,TA 3020,Elf,4680,
Arwen Evenstar,Hornburg,No Ring,TA 3020,Elf,4690,
Arwen Evenstar,Westfold,No Ring,TA 3020,Elf,4700,
Arwen Evenstar,Hobbiton,No Ring,TA 3020,Elf,4710,
Arwen Evenstar,Bag End,No Ring,TA 3020,Elf,4720,
Arwen Evenstar,Buckleberry Ferry,No Ring,TA 3020,Elf,4730,
Arwen Evenstar,Bree,No Ring,TA 3020,Elf,4740,
Arwen Evenstar,Dead Marshes,No Ring,TA 3020,Elf,4750,
Arwen Evenstar,Moria,No Ring,TA 3020,Elf,4760,
Arwen Evenstar,Barad-dur,No Ring,TA 3020,Elf,4770,
Arwen Evenstar,Mount Doom,No Ring,TA 3020,Elf,4780,
Arwen Evenstar,Minas Morgul,No Ring,TA 3020,Elf,4790,
Arwen Evenstar,Lothlorien,No Ring,TA 3020,Elf,4800,
Arwen Evenstar,Minas Tirith,No Ring,TA 3020,Elf,4810,
Arwen Evenstar,Pelennor Fields,No Ring,TA 3020,Elf,4820,
Arwen Evenstar,Gladden Fields,No Ring,TA 3020,Elf,4830,
Arwen Evenstar,Fangorn Forest,No Ring,TA 3020,Elf,4840,
Arwen Evenstar,Rivendell,No Ring,TA 3020,Elf,4850,
Arwen Evenstar,Isengard,No Ring,TA 3021,Elf,4860,
Arwen Evenstar,Edoras,No Ring,TA 3021,Elf,4870,
Arwen Evenstar,Helms Deep,No Ring,TA 3021,Elf,4880,
Arwen Evenstar,Hornburg,No Ring,TA 3021,Elf,4890,
Arwen Evenstar,Westfold,No Ring,TA 3021,Elf,4900,
Arwen Evenstar,Hobbiton,No Ring,TA 3021,Elf,4910,
Arwen Evenstar,Bag End,No Ring,TA 3021,Elf,4920,
Arwen Evenstar,Buckleberry Ferry,No Ring,TA 3021,Elf,4930,
Arwen Evenstar,Bree,No Ring,TA 3021,Elf,4940,
Arwen Evenstar,Dead Marshes,No Ring,TA 3021,Elf,4950,
Arwen Evenstar,Moria,No Ring,TA 3021,Elf,4960,
Arwen Evenstar,Barad-dur,No Ring,TA 3021,Elf,4970,
Arwen Evenstar,Mount Doom,No Ring,TA 3021,Elf,4980,
Arwen Evenstar,Minas Morgul,No Ring,TA 3021,Elf,4990,
Arwen Evenstar,Lothlorien,No Ring,TA 3021,Elf,5000,
Arwen Evenstar,Minas Tirith,No Ring,TA 3021,Elf,5010,
Arwen Evenstar,Pelennor Fields,No Ring,TA 3021,Elf,5020,
Arwen Evenstar,Gladden Fields,No Ring,TA 3021,Elf,5030,
Arwen Evenstar,Fangorn Forest,No Ring,TA 3021,Elf,5040,
Arwen Evenstar,Rivendell,No Ring,TA 3021,Elf,5050,
Eowyn,Isengard,No Ring,TA 3018,Human,5060,
Eowyn,Edoras,No Ring,TA 3018,Human,5070,
Eowyn,Helms Deep,No Ring,TA 3018,Human,5080,
Eowyn,Hornburg,No Ring,TA 3018,Human,5090,
Eowyn,Westfold,No Ring,TA 3018,Human,5100,
Eowyn,Hobbiton,No Ring,TA 3018,Human,5110,
Eowyn,Bag End,No Ring,TA 3018,Human,5120,
Eowyn,Buckleberry Ferry,No Ring,TA 3018,Human,5130,
Eowyn,Bree,No Ring,TA 3018,Human,5140,
Eowyn,Dead Marshes,No Ring,TA 3018,Human,5150,
Eowyn,Moria,No Ring,TA 3018,Human,5160,
Eowyn,Barad-dur,No Ring,TA 3018,Human,5170,
Eowyn,Mount Doom,No Ring,TA 3018,Human,5180,
Eowyn,Minas Morgul,No Ring,TA 3018,Human,5190,
Eowyn,Lothlorien,No Ring,TA 3018,Human,5200,
Eowyn,Minas Tirith,No Ring,TA 3018,Human,5210,
Eowyn,Pelennor Fields,No Ring,TA 3018,Human,5220,
Eowyn,Gladden Fields,No Ring,TA 3018,Human,5230,
Eowyn,Fangorn Forest,No Ring,TA 3018,Human,5240,
Eowyn,Rivendell,No Ring,TA 3018,Human,5250,
Eowyn,Isengard,No Ring,TA 3019,Human,5260,
Eowyn,Edoras,No Ring,TA 3019,Human,5270,
Eowyn,Helms Deep,No Ring,TA 3019,Human,5280,
Eowyn,Hornburg,No Ring,TA 3019,Human,5290,
Eowyn,Westfold,No Ring,TA 3019,Human,5300,
Eowyn,Hobbiton,No Ring,TA 3019,Human,5310,
Eowyn,Bag End,No Ring,TA 3019,Human,5320,
Eowyn,Buckleberry Ferry,No Ring,TA 3019,Human,5330,
Eowyn,Bree,No Ring,TA 3019,Human,5340,
Eowyn,Dead Marshes,No Ring,TA 3019,Human,5350,
Eowyn,Moria,No Ring,TA 3019,Human,5360,
Eowyn,Barad-dur,No Ring,TA 3019,Human,5370,
Eowyn,Mount Doom,No Ring,TA 3019,Human,5380,
Eowyn,Minas Morgul,No Ring,TA 3019,Human,5390,
Eowyn,Lothlorien,No Ring,TA 3019,Human,5400,
Eowyn,Minas Tirith,No Ring,TA 3019,Human,5410,
Eowyn,Pelennor Fields,No Ring,TA 3019,Human,5420,
Eowyn,Gladden Fields,No Ring,TA 3019,Human,5430,
Eowyn,Fangorn Forest,No Ring,TA 3019,Human,5440,
Eowyn,Rivendell,No Ring,TA 3019,Human,5450,
Eowyn,Isengard,No Ring,TA 3020,Human,5460,
Eowyn,Edoras,No Ring,TA 3020,Human,5470,
Eowyn,Helms Deep,No Ring,TA 3020,Human,5480,
Eowyn,Hornburg,No Ring,TA 3020,Human,5490,
Eowyn,Westfold,No Ring,TA 3020,Human,5500,
Eowyn,Hobbiton,No Ring,TA 3020,Human,5510,
Eowyn,Bag End,No Ring,TA 3020,Human,5520,
Eowyn,Buckleberry Ferry,No Ring,TA 3020,Human,5530,
Eowyn,Bree,No Ring,TA 3020,Human,5540,
Eowyn,Dead Marshes,No Ring,TA 3020,Human,5550,
Eowyn,Moria,No Ring,TA 3020,Human,5560,
Eowyn,Barad-dur,No Ring,TA 3020,Human,5570,
Eowyn,Mount Doom,No Ring,TA 3020,Human,5580,
Eowyn,Minas Morgul,No Ring,TA 3020,Human,5590,
Eowyn,Lothlorien,No Ring,TA 3020,Human,5600,
Eowyn,Minas Tirith,No Ring,TA 3020,Human,5610,
Eowyn,Pelennor Fields,No Ring,TA 3020,Human,5620,
Eowyn,Gladden Fields,No Ring,TA 3020,Human,5630,
Eowyn,Fangorn Forest,No Ring,TA 3020,Human,5640,
Eowyn,Rivendell,No Ring,TA 3020,Human,5650,
Eowyn,Isengard,No Ring,TA 3021,Human,5660,
Eowyn,Edoras,No Ring,TA 3021,Human,5670,
Eowyn,Helms Deep,No Ring,TA 3021,Human,5680,
Eowyn,Hornburg,No Ring,TA 3021,Human,5690,
Eowyn,Westfold,No Ring,TA 3021,Human,5700,
Eowyn,Hobbiton,No Ring,TA 3021,Human,5710,
Eowyn,Bag End,No Ring,TA 3021,Human,5720,
Eowyn,Buckleberry Ferry,No Ring,TA 3021,Human,5730,
Eowyn,Bree,No Ring,TA 3021,Human,5740,
Eowyn,Dead Marshes,No Ring,TA 3021,Human,5750,
Eowyn,Moria,No Ring,TA 3021,Human,5760,
Eowyn,Barad-dur,No Ring,TA 3021,Human,5770,
Eowyn,Mount Doom,No Ring,TA 3021,Human,5780,
Eowyn,Minas Morgul,No Ring,TA 3021,Human,5790,
Eowyn,Lothlorien,No Ring,TA 3021,Human,5800,
Eowyn,Minas Tirith,No Ring,TA 3021,Human,5810,
Eowyn,Pelennor Fields,No Ring,TA 3021,Human,5820,
Eowyn,Gladden Fields,No Ring,TA 3021,Human,5830,
Eowyn,Fangorn Forest,No Ring,TA 3021,Human,5840,
Eowyn,Rivendell,No Ring,TA 3021,Human,5850,
Denethor,Isengard,No Ring,TA 3018,Human,5860,
Denethor,Edoras,No Ring,TA 3018,Human,5870,
Denethor,Helms Deep,No Ring,TA 3018,Human,5880,
Denethor,Hornburg,No Ring,TA 3018,Human,5890,
Denethor,Westfold,No Ring,TA 3018,Human,5900,
Denethor,Hobbiton,No Ring,TA 3018,Human,5910,
Denethor,Bag End,No Ring,TA 3018,Human,5920,
Denethor,Buckleberry Ferry,No Ring,TA 3018,Human,5930,
Denethor,Bree,No Ring,TA 3018,Human,5940,
Denethor,Dead Marshes,No Ring,TA 3018,Human,5950,
Denethor,Moria,No Ring,TA 3018,Human,5960,
Denethor,Barad-dur,No Ring,TA 3018,Human,5970,
Denethor,Mount Doom,No Ring,TA 3018,Human,5980,
Denethor,Minas Morgul,No Ring,TA 3018,Human,5990,
Denethor,Lothlorien,No Ring,TA 3018,Human,6000,
Denethor,Minas Tirith,No Ring,TA 3018,Human,6010,
Denethor,Pelennor Fields,No Ring,TA 3018,Human,6020,
Denethor,Gladden Fields,No Ring,TA 3018,Human,6030,
Denethor,Fangorn Forest,No Ring,TA 3018,Human,6040,
Denethor,Rivendell,No Ring,TA 3018,Human,6050,
Denethor,Isengard,No Ring,TA 3019,Human,6060,
Denethor,Edoras,No Ring,TA 3019,Human,6070,
Denethor,Helms Deep,No Ring,TA 3019,Human,6080,
Denethor,Hornburg,No Ring,TA 3019,Human,6090,
Denethor,Westfold,No Ring,TA 3019,Human,6100,
Denethor,Hobbiton,No Ring,TA 3019,Human,6110,
Denethor,Bag End,No Ring,TA 3019,Human,6120,
Denethor,Buckleberry Ferry,No Ring,TA 3019,Human,6130,
Denethor,Bree,No Ring,TA 3019,Human,6140,
Denethor,Dead Marshes,No Ring,TA 3019,Human,6150,
Denethor,Moria,No Ring,TA 3019,Human,6160,
Denethor,Barad-dur,No Ring,TA 3019,Human,6170,
Denethor,Mount Doom,No Ring,TA 3019,Human,6180,
Denethor,Minas Morgul,No Ring,TA 3019,Human,6190,
Denethor,Lothlorien,No Ring,TA 3019,Human,6200,
Denethor,Minas Tirith,No Ring,TA 3019,Human,6210,
Denethor,Pelennor Fields,No Ring,TA 3019,Human,6220,
Denethor,Gladden Fields,No Ring,TA 3019,Human,6230,
Denethor,Fangorn Forest,No Ring,TA 3019,Human,6240,
Denethor,Rivendell,No Ring,TA 3019,Human,6250,
Denethor,Isengard,No Ring,TA 3020,Human,6260,
Denethor,Edoras,No Ring,TA 3020,Human,6270,
Denethor,Helms Deep,No Ring,TA 3020,Human,6280,
Denethor,Hornburg,No Ring,TA 3020,Human,6290,
Denethor,Westfold,No Ring,TA 3020,Human,6300,
Denethor,Hobbiton,No Ring,TA 3020,Human,6310,
Denethor,Bag End,No Ring,TA 3020,Human,6320,
Denethor,Buckleberry Ferry,No Ring,TA 3020,Human,6330,
Denethor,Bree,No Ring,TA 3020,Human,6340,
Denethor,Dead Marshes,No Ring,TA 3020,Human,6350,
Denethor,Moria,No Ring,TA 3020,Human,6360,
Denethor,Barad-dur,No Ring,TA 3020,Human,6370,
Denethor,Mount Doom,No Ring,TA 3020,Human,6380,
Denethor,Minas Morgul,No Ring,TA 3020,Human,6390,
Denethor,Lothlorien,No Ring,TA 3020,Human,6400,
Denethor,Minas Tirith,No Ring,TA 3020,Human,6410,
Denethor,Pelennor Fields,No Ring,TA 3020,Human,6420,
Denethor,Gladden Fields,No Ring,TA 3020,Human,6430,
Denethor,Fangorn Forest,No Ring,TA 3020,Human,6440,
Denethor,Rivendell,No Ring,TA 3020,Human,6450,
Denethor,Isengard,No Ring,TA 3021,Human,6460,
Denethor,Edoras,No Ring,TA 3021,Human,6470,
Denethor,Helms Deep,No Ring,TA 3021,Human,6480,
Denethor,Hornburg,No Ring,TA 3021,Human,6490,
Denethor,Westfold,No Ring,TA 3021,Human,6500,
Denethor,Hobbiton,No Ring,TA 3021,Human,6510,
Denethor,Bag End,No Ring,TA 3021,Human,6520,
Denethor,Buckleberry Ferry,No Ring,TA 3021,Human,6530,
Denethor,Bree,No Ring,TA 3021,Human,6540,
Denethor,Dead Marshes,No Ring,TA 3021,Human,6550,
Denethor,Moria,No Ring,TA 3021,Human,6560,
Denethor,Barad-dur,No Ring,TA 3021,Human,6570,
Denethor,Mount Doom,No Ring,TA 3021,Human,6580,
Denethor,Minas Morgul,No Ring,TA 3021,Human,6590,
Denethor,Lothlorien,No Ring,TA 3021,Human,6600,
Denethor,Minas Tirith,No Ring,TA 3021,Human,6610,
Denethor,Pelennor Fields,No Ring,TA 3021,Human,6620,
Denethor,Gladden Fields,No Ring,TA 3021,Human,6630,
Denethor,Fangorn Forest,No Ring,TA 3021,Human,6640,
Denethor,Rivendell,No Ring,TA 3021,Human,6650,
Theoden,Isengard,No Ring,TA 3018,Human,6660,
Theoden,Edoras,No Ring,TA 3018,Human,6670,
Theoden,Helms Deep,No Ring,TA 3018,Human,6680,
Theoden,Hornburg,No Ring,TA 3018,Human,6690,
Theoden,Westfold,No Ring,TA 3018,Human,6700,
Theoden,Hobbiton,No Ring,TA 3018,Human,6710,
Theoden,Bag End,No Ring,TA 3018,Human,6720,
Theoden,Buckleberry Ferry,No Ring,TA 3018,Human,6730,
Theoden,Bree,No Ring,TA 3018,Human,6740,
Theoden,Dead Marshes,No Ring,TA 3018,Human,6750,
Theoden,Moria,No Ring,TA 3018,Human,6760,
Theoden,Barad-dur,No Ring,TA 3018,Human,6770,
Theoden,Mount Doom,No Ring,TA 3018,Human,6780,
Theoden,Minas Morgul,No Ring,TA 3018,Human,6790,
Theoden,Lothlorien,No Ring,TA 3018,Human,6800,
Theoden,Minas Tirith,No Ring,TA 3018,Human,6810,
Theoden,Pelennor Fields,No Ring,TA 3018,Human,6820,
Theoden,Gladden Fields,No Ring,TA 3018,Human,6830,
Theoden,Fangorn Forest,No Ring,TA 3018,Human,6840,
Theoden,Rivendell,No Ring,TA 3018,Human,6850,
Theoden,Isengard,No Ring,TA 3019,Human,6860,
Theoden,Edoras,No Ring,TA 3019,Human,6870,
Theoden,Helms Deep,No Ring,TA 3019,Human,6880,
Theoden,Hornburg,No Ring,TA 3019,Human,6890,
Theoden,Westfold,No Ring,TA 3019,Human,6900,
Theoden,Hobbiton,No Ring,TA 3019,Human,6910,
Theoden,Bag End,No Ring,TA 3019,Human,6920,
Theoden,Buckleberry Ferry,No Ring,TA 3019,Human,6930,
Theoden,Bree,No Ring,TA 3019,Human,6940,
Theoden,Dead Marshes,No Ring,TA 3019,Human,6950,
Theoden,Moria,No Ring,TA 3019,Human,6960,
Theoden,Barad-dur,No Ring,TA 3019,Human,6970,
Theoden,Mount Doom,No Ring,TA 3019,Human,6980,
Theoden,Minas Morgul,No Ring,TA 3019,Human,6990,
Theoden,Lothlorien,No Ring,TA 3019,Human,7000,
Theoden,Minas Tirith,No Ring,TA 3019,Human,7010,
Theoden,Pelennor Fields,No Ring,TA 3019,Human,7020,
Theoden,Gladden Fields,No Ring,TA 3019,Human,7030,
Theoden,Fangorn Forest,No Ring,TA 3019,Human,7040,
Theoden,Rivendell,No Ring,TA 3019,Human,7050,
Theoden,Isengard,No Ring,TA 3020,Human,7060,
Theoden,Edoras,No Ring,TA 3020,Human,7070,
Theoden,Helms Deep,No Ring,TA 3020,Human,7080,
Theoden,Hornburg,No Ring,TA 3020,Human,7090,
Theoden,Westfold,No Ring,TA 3020,Human,7100,
Theoden,Hobbiton,No Ring,TA 3020,Human,7110,
Theoden,Bag End,No Ring,TA 3020,Human,7120,
Theoden,Buckleberry Ferry,No Ring,TA 3020,Human,7130,
Theoden,Bree,No Ring,TA 3020,Human,7140,
Theoden,Dead Marshes,No Ring,TA 3020,Human,7150,
Theoden,Moria,No Ring,TA 3020,Human,7160,
Theoden,Barad-dur,No Ring,TA 3020,Human,7170,
Theoden,Mount Doom,No Ring,TA 3020,Human,7180,
Theoden,Minas Morgul,No Ring,TA 3020,Human,7190,
Theoden,Lothlorien,No Ring,TA 3020,Human,7200,
Theoden,Minas Tirith,No Ring,TA 3020,Human,7210,
Theoden,Pelennor Fields,No Ring,TA 3020,Human,7220,
Theoden,Gladden Fields,No Ring,TA 3020,Human,7230,
Theoden,Fangorn Forest,No Ring,TA 3020,Human,7240,
Theoden,Rivendell,No Ring,TA 3020,Human,7250,
Theoden,Isengard,No Ring,TA 3021,Human,7260,
Theoden,Edoras,No Ring,TA 3021,Human,7270,
Theoden,Helms Deep,No Ring,TA 3021,Human,7280,
Theoden,Hornburg,No Ring,TA 3021,Human,7290,
Theoden,Westfold,No Ring,TA 3021,Human,7300,
Theoden,Hobbiton,No Ring,TA 3021,Human,7310,
Theoden,Bag End,No Ring,TA 3021,Human,7320,
Theoden,Buckleberry Ferry,No Ring,TA 3021,Human,7330,
Theoden,Bree,No Ring,TA 3021,Human,7340,
Theoden,Dead Marshes,No Ring,TA 3021,Human,7350,
Theoden,Moria,No Ring,TA 3021,Human,7360,
Theoden,Barad-dur,No Ring,TA 3021,Human,7370,
Theoden,Mount Doom,No Ring,TA 3021,Human,7380,
Theoden,Minas Morgul,No Ring,TA 3021,Human,7390,
Theoden,Lothlorien,No Ring,TA 3021,Human,7400,
Theoden,Minas Tirith,No Ring,TA 3021,Human,7410,
Theoden,Pelennor Fields,No Ring,TA 3021,Human,7420,
Theoden,Gladden Fields,No Ring,TA 3021,Human,7430,
Theoden,Fangorn Forest,No Ring,TA 3021,Human,7440,
Theoden,Rivendell,No Ring,TA 3021,Human,7450,
Galadriel,Isengard,Nenya,TA 3018,Elf,7460,
Galadriel,Edoras,Nenya,TA 3018,Elf,7470,
Galadriel,Helms Deep,Nenya,TA 3018,Elf,7480,
Galadriel,Hornburg,Nenya,TA 3018,Elf,7490,
Galadriel,Westfold,Nenya,TA 3018,Elf,7500,
Galadriel,Hobbiton,Nenya,TA 3018,Elf,7510,
Galadriel,Bag End,Nenya,TA 3018,Elf,7520,
Galadriel,Buckleberry Ferry,Nenya,TA 3018,Elf,7530,
Galadriel,Bree,Nenya,TA 3018,Elf,7540,
Galadriel,Dead Marshes,Nenya,TA 3018,Elf,7550,
Galadriel,Moria,Nenya,TA 3018,Elf,7560,
Galadriel,Barad-dur,Nenya,TA 3018,Elf,7570,
Galadriel,Mount Doom,Nenya,TA 3018,Elf,7580,
Galadriel,Minas Morgul,Nenya,TA 3018,Elf,7590,
Galadriel,Lothlorien,Nenya,TA 3018,Elf,7600,
Galadriel,Minas Tirith,Nenya,TA 3018,Elf,7610,
Galadriel,Pelennor Fields,Nenya,TA 3018,Elf,7620,
Galadriel,Gladden Fields,Nenya,TA 3018,Elf,7630,
Galadriel,Fangorn Forest,Nenya,TA 3018,Elf,7640,
Galadriel,Rivendell,Nenya,TA 3018,Elf,7650,
Galadriel,Isengard,Nenya,TA 3019,Elf,7660,
Galadriel,Edoras,Nenya,TA 3019,Elf,7670,
Galadriel,Helms Deep,Nenya,TA 3019,Elf,7680,
Galadriel,Hornburg,Nenya,TA 3019,Elf,7690,
Galadriel,Westfold,Nenya,TA 3019,Elf,7700,
Galadriel,Hobbiton,Nenya,TA 3019,Elf,7710,
Galadriel,Bag End,Nenya,TA 3019,Elf,7720,
Galadriel,Buckleberry Ferry,Nenya,TA 3019,Elf,7730,
Galadriel,Bree,Nenya,TA 3019,Elf,7740,
Galadriel,Dead Marshes,Nenya,TA 3019,Elf,7750,
Galadriel,Moria,Nenya,TA 3019,Elf,7760,
Galadriel,Barad-dur,Nenya,TA 3019,Elf,7770,
Galadriel,Mount Doom,Nenya,TA 3019,Elf,7780,
Galadriel,Minas Morgul,Nenya,TA 3019,Elf,7790,
Galadriel,Lothlorien,Nenya,TA 3019,Elf,7800,
Galadriel,Minas Tirith,Nenya,TA 3019,Elf,7810,
Galadriel,Pelennor Fields,Nenya,TA 3019,Elf,7820,
Galadriel,Gladden Fields,Nenya,TA 3019,Elf,7830,
Galadriel,Fangorn Forest,Nenya,TA 3019,Elf,7840,
Galadriel,Rivendell,Nenya,TA 3019,Elf,7850,
Galadriel,Isengard,Nenya,TA 3020,Elf,7860,
Galadriel,Edoras,Nenya,TA 3020,Elf,7870,
Galadriel,Helms Deep,Nenya,TA 3020,Elf,7880,
Galadriel,Hornburg,Nenya,TA 3020,Elf,7890,
Galadriel,Westfold,Nenya,TA 3020,Elf,7900,
Galadriel,Hobbiton,Nenya,TA 3020,Elf,7910,
Galadriel,Bag End,Nenya,TA 3020,Elf,7920,
Galadriel,Buckleberry Ferry,Nenya,TA 3020,Elf,7930,
Galadriel,Bree,Nenya,TA 3020,Elf,7940,
Galadriel,Dead Marshes,Nenya,TA 3020,Elf,7950,
Galadriel,Moria,Nenya,TA 3020,Elf,7960,
Galadriel,Barad-dur,Nenya,TA 3020,Elf,7970,
Galadriel,Mount Doom,Nenya,TA 3020,Elf,7980,
Galadriel,Minas Morgul,Nenya,TA 3020,Elf,7990,
Galadriel,Lothlorien,Nenya,TA 3020,Elf,8000,
Galadriel,Minas Tirith,Nenya,TA 3020,Elf,8010,
Galadriel,Pelennor Fields,Nenya,TA 3020,Elf,8020,
Galadriel,Gladden Fields,Nenya,TA 3020,Elf,8030,
Galadriel,Fangorn Forest,Nenya,TA 3020,Elf,8040,
Galadriel,Rivendell,Nenya,TA 3020,Elf,8050,
Galadriel,Isengard,Nenya,TA 3021,Elf,8060,
Galadriel,Edoras,Nenya,TA 3021,Elf,8070,
Galadriel,Helms Deep,Nenya,TA 3021,Elf,8080,
Galadriel,Hornburg,Nenya,TA 3021,Elf,8090,
Galadriel,Westfold,Nenya,TA 3021,Elf,8100,
Galadriel,Hobbiton,Nenya,TA 3021,Elf,8110,
Galadriel,Bag End,Nenya,TA 3021,Elf,8120,
Galadriel,Buckleberry Ferry,Nenya,TA 3021,Elf,8130,
Galadriel,Bree,Nenya,TA 3021,Elf,8140,
Galadriel,Dead Marshes,Nenya,TA 3021,Elf,8150,
Galadriel,Moria,Nenya,TA 3021,Elf,8160,
Galadriel,Barad-dur,Nenya,TA 3021,Elf,8170,
Galadriel,Mount Doom,Nenya,TA 3021,Elf,8180,
Galadriel,Minas Morgul,Nenya,TA 3021,Elf,8190,
Galadriel,Lothlorien,Nenya,TA 3021,Elf,8200,
Galadriel,Minas Tirith,Nenya,TA 3021,Elf,8210,
Galadriel,Pelennor Fields,Nenya,TA 3021,Elf,8220,
Galadriel,Gladden Fields,Nenya,TA 3021,Elf,8230,
Galadriel,Fangorn Forest,Nenya,TA 3021,Elf,8240,
Galadriel,Rivendell,Nenya,TA 3021,Elf,8250,
Saruman,Isengard,No Ring,TA 3018,Maia,8260,
Saruman,Edoras,No Ring,TA 3018,Maia,8270,
Saruman,Helms Deep,No Ring,TA 3018,Maia,8280,
Saruman,Hornburg,No Ring,TA 3018,Maia,8290,
Saruman,Westfold,No Ring,TA 3018,Maia,8300,
Saruman,Hobbiton,No Ring,TA 3018,Maia,8310,
Saruman,Bag End,No Ring,TA 3018,Maia,8320,
Saruman,Buckleberry Ferry,No Ring,TA 3018,Maia,8330,
Saruman,Bree,No Ring,TA 3018,Maia,8340,
Saruman,Dead Marshes,No Ring,TA 3018,Maia,8350,
Saruman,Moria,No Ring,TA 3018,Maia,8360,
Saruman,Barad-dur,No Ring,TA 3018,Maia,8370,
Saruman,Mount Doom,No Ring,TA 3018,Maia,8380,
Saruman,Minas Morgul,No Ring,TA 3018,Maia,8390,
Saruman,Lothlorien,No Ring,TA 3018,Maia,8400,
Saruman,Minas Tirith,No Ring,TA 3018,Maia,8410,
Saruman,Pelennor Fields,No Ring,TA 3018,Maia,8420,
Saruman,Gladden Fields,No Ring,TA 3018,Maia,8430,
Saruman,Fangorn Forest,No Ring,TA 3018,Maia,8440,
Saruman,Rivendell,No Ring,TA 3018,Maia,8450,
Saruman,Isengard,No Ring,TA 3019,Maia,8460,
Saruman,Edoras,No Ring,TA 3019,Maia,8470,
Saruman,Helms Deep,No Ring,TA 3019,Maia,8480,
Saruman,Hornburg,No Ring,TA 3019,Maia,8490,
Saruman,Westfold,No Ring,TA 3019,Maia,8500,
Saruman,Hobbiton,No Ring,TA 3019,Maia,8510,
Saruman,Bag End,No Ring,TA 3019,Maia,8520,
Saruman,Buckleberry Ferry,No Ring,TA 3019,Maia,8530,
Saruman,Bree,No Ring,TA 3019,Maia,8540,
Saruman,Dead Marshes,No Ring,TA 3019,Maia,8550,
Saruman,Moria,No Ring,TA 3019,Maia,8560,
Saruman,Barad-dur,No Ring,TA 3019,Maia,8570,
Saruman,Mount Doom,No Ring,TA 3019,Maia,8580,
Saruman,Minas Morgul,No Ring,TA 3019,Maia,8590,
Saruman,Lothlorien,No Ring,TA 3019,Maia,8600,
Saruman,Minas Tirith,No Ring,TA 3019,Maia,8610,
Saruman,Pelennor Fields,No Ring,TA 3019,Maia,8620,
Saruman,Gladden Fields,No Ring,TA 3019,Maia,8630,
Saruman,Fangorn Forest,No Ring,TA 3019,Maia,8640,
Saruman,Rivendell,No Ring,TA 3019,Maia,8650,
Saruman,Isengard,No Ring,TA 3020,Maia,8660,
Saruman,Edoras,No Ring,TA 3020,Maia,8670,
Saruman,Helms Deep,No Ring,TA 3020,Maia,8680,
Saruman,Hornburg,No Ring,TA 3020,Maia,8690,
Saruman,Westfold,No Ring,TA 3020,Maia,8700,
Saruman,Hobbiton,No Ring,TA 3020,Maia,8710,
